CarModel,Bodystructure ,Fullloadquality ,Gearbox ,Lengthwidthheight ,Manufacturer ,Maximumspeed ,Motorbrand ,Rank ,Timeoflisting ,Transmissiondescription ,Typeofenergy ,Typeofkey 
24 Honor Edition 430km Leading Type ,5-door 5-seater SUV ,2000,1 gear fixed tooth ratio ,4455*1875*1615 ,BYD，New Energy ,160,BYD ,Compact SUV ,2024/3/4 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key | NFC/RFID key 
24 Honor Edition 430km Transcendental ,5-door 5-seater SUV ,2000,1 gear fixed tooth ratio ,4455*1875*1615 ,BYD，New Energy ,160,BYD ,Compact SUV ,2024/3/4 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key | NFC/RFID key 
24 Honor Edition 510km Leading Type ,5-door 5-seater SUV ,2065,1 gear fixed tooth ratio ,4455*1875*1615 ,BYD，New Energy ,160,BYD ,Compact SUV ,2024/3/4 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key | NFC/RFID key 
24 Honor Edition 510km Excellent ,5-door 5-seater SUV ,2065,1 gear fixed tooth ratio ,4455*1875*1615 ,BYD，New Energy ,160,BYD ,Compact SUV ,2024/3/4 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key | NFC/RFID key 
24 models EV Honor Edition 520km Luxury ,5-door 5-seater SUV ,2295,1 gear fixed tooth ratio ,NODATA,BYD，New Energy ,175,BYD ,Compact SUV ,2024/2/29 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key | NFC/RFID key 
24 models EV Honor Edition 605km Flagship PLUS,5-door 5-seater SUV ,2425,1 gear fixed tooth ratio ,NODATA,BYD，New Energy ,175,BYD ,Compact SUV ,2024/2/29 0:00,Single-speed gearbox for electric vehicles ,Pure electricity,| Remote control key | Bluetooth key | NFC/RFID key 
24 models DM-i Honor Edition 1.5L 71km Luxury,5-door 5-seater SUV ,2145,Electronic stepless transmission (E-CVT) ,NODATA,BYD，New Energy ,170,BYD ,Compact SUV ,2024/2/29 0:00,E-CVT stepless transmission ,Plug-in hybrid ,| Remote control key | Bluetooth key | NFC/RFID key 
24 models DM-i Honor Edition 1.5L 110km Flagship,5-door 5-seater SUV,2205,Electronic stepless transmission (E-CVT) ,NODATA,BYD，New Energy ,170,BYD ,Compact SUV ,2024/2/29 0:00,E-CVT stepless transmission ,Plug-in hybrid ,| Remote control key | Bluetooth key | NFC/RFID key 
24 models Honor Edition 405km Comfort Type,5-door 5-seat hatchback ,NODATA,1 gear fixed tooth ratio ,4260*1760*1530 ,BYD，New Energy ,130,BYD ,Compact car ,2024/3/13 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key | NFC/RFID key 
24 models Honor Edition 405km Luxury,5-door 5-seat hatchback ,NODATA,1 gear fixed tooth ratio ,4260*1760*1530 ,BYD，New Energy ,130,BYD ,Compact car ,2024/3/13 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key | NFC/RFID key 
23 models models 405km travel version,5-door 5-seat hatchback ,NODATA,1 gear fixed tooth ratio ,4260*1760*1530 ,BYD，New Energy ,130,BYD ,Compact car ,2023/5/9 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key | NFC/RFID key 
24 models EV Honor Edition 420km Leading Type,4-door 5-seat sedan ,1961,1 gear fixed tooth ratio ,4765*1837*1515 ,BYD，New Energy,130,BYD ,Compact car ,2024/2/19 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key | NFC/RFID key
24 models EV Honor Edition 510km Leading Type,4-door 5-seat sedan ,2032,1 gear fixed tooth ratio ,4765*1837*1515,BYD，New Energy ,130,BYD ,Compact car ,2024/2/19 0:00,Single-speed gearbox for electric vehicles,Pure electricity,| Remote control key | Bluetooth key | NFC/RFID key 
24 models DM-i Honor Edition 1.5L 55km Leading Type,4-door 5-seat sedan ,1875,Electronic stepless transmission (E-CVT) ,4765*1837*1495 ,BYD，New Energy ,185,BYD ,Compact car ,2024/2/19 0:00,E-CVT stepless transmission ,Plug-in hybrid ,| Remote control key | Bluetooth key | NFC/RFID key 
24 models DM-i Honor Edition 1.5L 120km Leading Model,4-door 5-seat sedan ,1995,Electronic stepless transmission (E-CVT) ,4765*1837*1495 ,BYD，New Energy ,185,BYD ,Compact car ,2024/2/19 0:00,E-CVT stepless transmission ,Plug-in hybrid ,| Remote control key | Bluetooth key | NFC/RFID key 
24 models 750km rear drive WE version,5-door 5-seater hatchback ,2730,1 gear fixed tooth ratio ,4977*1999*1545 ,Extreme Krypton ,240,Quzhou Extreme Electric,Large and medium-sized cars ,2024/2/27 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key | UWB digital key 
